01111111100000000111,0.01
00000000100000000000,0.04
00000000011111111000,0.03
01111111000000000111,0.18
00000000111111111000,0.14
00000000000000000111,0.13
01111111111111111111,0.29
01111111011111111111,0.01
01111111011111111000,0.01
01111111111111111000,0.13
01111111000000000000,0.03
10000000011111111000|01111111100000000111|00000000100000000000,1
10000000011111111000|01111111000000000111|00000000000000000111,1
01111111000000000111|10000000011111111000|00000000011111111000,1
11111111100000000000|00000000011111111000|00000000000000011000,1
01111111000000000000|10000000100000000000|00000000100000000000,1
00000000100000000000|01111111011111111000|00000000011111111000,1
00000000000000011000|00000000111111100000|00000000011111100000,1
00000000100000000000|10000000011111111000|00000000011111111000,1
10000000000000000000|01111111011111111111|00000000011111111000,1
00000000100000000000|11111111011111111111|01111111000000000111,0.25
00000000100000000000|11111111011111111111|01111111011111111111,0.75
00000000011111111000|01111111000000000111|00000000000000000111,1
01111111000000000111|00000000011111111000|00000000000000011000,1
10000000100000000000|01111111011111111111|00000000011111111000,1
01111111011111111111|10000000100000000000|00000000100000000000,1
01111111100000000000|00000000000000000111|00000000000000000011,1
10000000000000000000|01111111111111111111|00000000011111111111,0.0344828
10000000000000000000|01111111111111111111|00000000011111111000,0.103448
10000000000000000000|01111111111111111111|00000000000000000111,0.275862
10000000000000000000|01111111111111111111|00000000111111111000,0.586207
10000000111111111000|00000000000000000111|00000000000000000011,1
00000000100000000000|01111111000000000000|00000001000000000000,1
00000000000010000000|00000000011100000000|00000000000100000000,0.333333
00000000000010000000|00000000011100000000|00000000001100000000,0.333333
00000000000010000000|00000000011100000000|00000000001000000000,0.333333
10000000000000000000|00000000011111111000|00000000000000011000,1
00000000000000000111|01111111100000000000|00000000100000000000,1
00001000000000000000|00110000000000000000|00010000000000000000,1
00000000011111111000|11111111100000000111|01111111000000000111,0.666667
00000000011111111000|11111111100000000111|01111111000000000000,0.333333
00000000000001000000|00000000011100000000|00000000001100000000,0.424658
00000000000001000000|00000000011100000000|00000000001000000000,0.424658
00000000000001000000|00000000011100000000|00000000000100000000,0.150685
01111111100000000111|10000000011111111000|00000000011111111000,1
10000000000000000000|01111111000000000111|00000000000000000111,1
00000000011111111000|10000000100000000000|00000000100000000000,1
00000000000100000000|00000000011000000000|00000000001000000000,1
00000000000000000111|11111111000000000000|01111111000000000000,1
00000000000000011000|00000000011111100000|00000000000000100000,1
11111111111111111000|00000000000000000111|00000000000000000011,1
11111111000000000111|00000000111111111000|00000000011111100000,0.0714286
11111111000000000111|00000000111111111000|00000000011111111000,0.928571
00000000111111111000|11111111000000000111|01111111000000000111,0.928571
00000000111111111000|11111111000000000111|00000000000000000111,0.0714286
00000000111111111000|10000000000000000111|00000000000000000111,1
01111111000000000000|00000000000000000111|00000000000000000011,1
01111111000000000000|10000000111111111111|00000000000000000111,0.666667
01111111000000000000|10000000111111111111|00000000111111111000,0.333333
11111111000000000000|00000000000000000111|00000000000000000011,1
00000000000000000111|01111111000000000000|00000001000000000000,1
00000000000000000111|11111111111111111000|00000000011111111000,0.153846
00000000000000000111|11111111111111111000|01111111011111111000,0.0769231
00000000000000000111|11111111111111111000|01111111000000000000,0.538462
00000000000000000111|11111111111111111000|01111111111111111000,0.230769
00000000011100000000|00000000000011000000|00000000000001000000,1
01111111000000000111|00000000111111111000|00000000011111100000,0.176471
01111111000000000111|00000000111111111000|00000000011111111000,0.823529
01000000000000000000|00111110000000000000|00000010000000000000,1
01111111100000000111|00000000011111111000|00000000000000011000,1
01111111011111111000|10000000100000000000|00000000100000000000,1
00000100000000000000|00111000000000000000|00001000000000000000,0.01
00000100000000000000|00111000000000000000|00011000000000000000,0.99
00000000001000000000|00000000010100000000|00000000000100000000,1
00000000011111111000|01111111100000000111|00000000100000000000,0.666667
00000000011111111000|01111111100000000111|00000000000000000111,0.333333
00000000000000000111|00000000011111111000|00000000000000011000,1
00000000000000000111|01111111111111111000|00000000100000000000,0.125
00000000000000000111|01111111111111111000|00000000111111111000,0.5
00000000000000000111|01111111111111111000|00000000011111111000,0.375
00000000100000000000|00000000011111111000|00000000000000011000,1
00000000011111100000|00000000100000011000|00000000000000011000,1
10000000000000000000|01111111000000000000|00000001000000000000,1
00000000000000100000|00000000011111000000|00000000000001000000,0.03
00000000000000100000|00000000011111000000|00000000000010000000,0.73
00000000000000100000|00000000011111000000|00000000000011000000,0.24
00000000011111100000|00000000000000011000|00000000000000001000,1
01111111100000000000|00000000011111111000|00000000000000011000,1
00000000100000000000|00000000011111100000|00000000000000100000,1
00000000111111111000|01111111000000000111|00000000000000000111,1
10000000100000000111|01111111011111111000|00000000011111111000,1
00000000000011000000|00000000011100000000|00000000001100000000,0.333333
00000000000011000000|00000000011100000000|00000000001000000000,0.541667
00000000000011000000|00000000011100000000|00000000000100000000,0.125
00000000000000000100|00000000000000000011|00000000000000000001,1
10000000100000000000|01111111000000000000|00000001000000000000,1
00000000111111111000|01111111000000000000|00000001000000000000,1
00000000000010000000|00000000011101000000|00000000000001000000,1
01111111000000000111|10000000100000000000|00000000100000000000,1
01111111000000000000|10000000100000000111|00000000000000000111,1
01111111100000000000|00000000011111111111|00000000000000000111,1
00000000010000000000|00000000001100000000|00000000000100000000,1
10000000000000000111|01111111111111111000|00000000111111111000,0.769231
10000000000000000111|01111111111111111000|00000000011111111000,0.230769
10000000100000000000|01111111000000000111|00000000000000000111,1
11111111100000000111|00000000011111111000|00000000000000011000,1
01111111000000000000|00000000111111111000|00000000011111100000,0.0625
01111111000000000000|00000000111111111000|00000000011111111000,0.875
01111111000000000000|00000000111111111000|00000000000000011000,0.0625
00000000011111111000|01111111100000000000|00000000100000000000,1
00000000100000011000|00000000011111100000|00000000000000100000,1
01111111111111111000|10000000000000000111|00000000000000000111,1
10000000000000000111|00000000111111111000|00000000011111111000,1
10000000000000000000|00000000000000000111|00000000000000000011,1
00000010000000000000|00111100000000000000|00000100000000000000,1
00000000011111111000|01111111000000000000|00000001000000000000,1
01111111000000000000|00000000011111111000|00000000000000011000,1
01111111011111111000|10000000100000000111|00000000000000000111,1
10000000000000000000|01111111111111111000|00000000011111111000,0.333333
10000000000000000000|01111111111111111000|00000000111111111000,0.666667
10000000000000000000|00000000111111111000|00000000011111111000,1
00000000000000000111|10000000100000000000|00000000100000000000,1
10000000100000000000|00000000000000000111|00000000000000000011,1
01111111111111111000|00000000000000000111|00000000000000000011,1
10000000111111111111|01111111000000000000|00000001000000000000,1
00000000000000000111|10000000111111111000|00000000111111111000,1
10000000111111111000|01111111000000000000|00000001000000000000,1
01111111000000000000|10000000111111111000|00000000100000000000,0.142857
01111111000000000000|10000000111111111000|00000000111111111000,0.714286
01111111000000000000|10000000111111111000|00000000011111111000,0.142857
00000000111111100000|00000000000000011000|00000000000000001000,1
00000000100000000000|00000000000000011000|00000000000000001000,1
00100000000000000000|00011000000000000000|00001000000000000000,1
00000000000001000000|00000000011110000000|00000000000010000000,1
00000000100000000000|01111111000000000111|00000000000000000111,1
00000001000000000000|01111110000000000000|00111110000000000000,1
01111111000000000111|10000000111111111000|00000000011111111000,0.222222
01111111000000000111|10000000111111111000|00000000111111111000,0.777778
00000000011111111000|11111111100000000000|01111111000000000000,1
10000000111111111000|01111111000000000111|00000000000000000111,1
10000000100000000111|01111111000000000000|00000001000000000000,1
10000000100000000000|00000000011111111000|00000000000000011000,1
10000000100000000000|01111111011111111000|00000000011111111000,1
00000000011111111111|01111111100000000000|00000000100000000000,1
00000000011111111000|00000000000000000111|00000000000000000011,1
